Starting training at 2025. 04. 12. (토) 10:10:12 KST
Epoch 1/100 - Train Loss: -0.3875 - Validation Loss: -0.5109
Epoch 2/100 - Train Loss: -1.2272 - Validation Loss: -1.0683
Epoch 3/100 - Train Loss: -2.2244 - Validation Loss: -1.6769
Epoch 4/100 - Train Loss: -3.3088 - Validation Loss: -2.3286
Epoch 5/100 - Train Loss: -4.4820 - Validation Loss: -3.0181
Epoch 6/100 - Train Loss: -5.7271 - Validation Loss: -3.7507
Epoch 7/100 - Train Loss: -7.0383 - Validation Loss: -4.5058
Epoch 8/100 - Train Loss: -8.3970 - Validation Loss: -5.2824
Epoch 9/100 - Train Loss: -9.8410 - Validation Loss: -6.0718
Epoch 10/100 - Train Loss: -11.2479 - Validation Loss: -6.8691
Epoch 11/100 - Train Loss: -12.6992 - Validation Loss: -7.6711
Epoch 12/100 - Train Loss: -14.1695 - Validation Loss: -8.4721
Epoch 13/100 - Train Loss: -15.6350 - Validation Loss: -9.2759
Epoch 14/100 - Train Loss: -17.1093 - Validation Loss: -10.0662
Epoch 15/100 - Train Loss: -18.5770 - Validation Loss: -10.8393
Epoch 16/100 - Train Loss: -20.0147 - Validation Loss: -11.5975
Epoch 17/100 - Train Loss: -21.4318 - Validation Loss: -12.3371
Epoch 18/100 - Train Loss: -22.7516 - Validation Loss: -13.0482
Epoch 19/100 - Train Loss: -24.1969 - Validation Loss: -13.7386
Epoch 20/100 - Train Loss: -25.5066 - Validation Loss: -14.4078
Epoch 21/100 - Train Loss: -26.7035 - Validation Loss: -15.0483
Epoch 22/100 - Train Loss: -27.8506 - Validation Loss: -15.6647
Epoch 23/100 - Train Loss: -29.0303 - Validation Loss: -16.2548
Epoch 24/100 - Train Loss: -30.2227 - Validation Loss: -16.8242
Epoch 25/100 - Train Loss: -31.3115 - Validation Loss: -17.3681
Epoch 26/100 - Train Loss: -32.3126 - Validation Loss: -17.8889
Epoch 27/100 - Train Loss: -33.3873 - Validation Loss: -18.3887
Epoch 28/100 - Train Loss: -34.2930 - Validation Loss: -18.8690
Epoch 29/100 - Train Loss: -35.1881 - Validation Loss: -19.3282
Epoch 30/100 - Train Loss: -36.1636 - Validation Loss: -19.7688
Epoch 31/100 - Train Loss: -36.9188 - Validation Loss: -20.1898
Epoch 32/100 - Train Loss: -37.7757 - Validation Loss: -20.5900
Epoch 33/100 - Train Loss: -38.5342 - Validation Loss: -20.9758
Epoch 34/100 - Train Loss: -39.3460 - Validation Loss: -21.3471
Epoch 35/100 - Train Loss: -40.1454 - Validation Loss: -21.7008
Epoch 36/100 - Train Loss: -40.7484 - Validation Loss: -22.0407
Epoch 37/100 - Train Loss: -41.3478 - Validation Loss: -22.3646
Epoch 38/100 - Train Loss: -42.0232 - Validation Loss: -22.6768
Epoch 39/100 - Train Loss: -42.6603 - Validation Loss: -22.9740
Epoch 40/100 - Train Loss: -43.1626 - Validation Loss: -23.2568
Epoch 41/100 - Train Loss: -43.8916 - Validation Loss: -23.5340
Epoch 42/100 - Train Loss: -44.3443 - Validation Loss: -23.7955
Epoch 43/100 - Train Loss: -44.7809 - Validation Loss: -24.0476
